InvoiceSectionName,Date,MeterCategory,CostInBillingCurrency,MeterSubCategory,MeterName,SubscriptionName,ResourceGroup,ConsumedService,ResourceLocation,ResourceName
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-29,Storage,0.0,Bandwidth,Geo-Replication Data transfer,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,52f16cae5f27a41f2dde5a856a746e1a1a023e4f77dc1b7f3d10839454ecd04d,Microsoft.Storage,westeurope,b22df4efe60c7964c1fa45a81ebf6e5501910ac5c6fc69fb2084a543888cb477
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-29,Virtual Network,0.003699950503539,IP Addresses,Standard IPv4 Static Public IP,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,05a92ef059d22b7847bf97a414cbd9b773f230a341f9262ebbfcd391f68fc350,Microsoft.MachineLearningServices,westeurope,55f17ee5c0235396a7acc69e7fc30d917319e3e053d08e3d66293504516884f1
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-29,Load Balancer,0.018599832635028,Standard,Standard Included LB Rules and Outbound Rules,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,05a92ef059d22b7847bf97a414cbd9b773f230a341f9262ebbfcd391f68fc350,Microsoft.MachineLearningServices,westeurope,55f17ee5c0235396a7acc69e7fc30d917319e3e053d08e3d66293504516884f1
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-28,Storage,3.777460488e-06,Tables,Batch Write Operations,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,48737c15be0716316657b69ba993dbbd6a1746d87f74c60102430b6cb19898bf,Microsoft.Storage,westeurope,ed18d3fa6dc6b535f3046cb0849d862041f0b70dc56cd5d06c78d58884d5b9af
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-28,Virtual Network,0.064798503402222,IP Addresses,Basic IPv4 Static Public IP,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,cc4e9a0ced21133a950a5711bd23d7321ab678996dff697b1dc119442ceb859f,Microsoft.Network,westeurope,07832f33d02043b05368df24e9a99f85510dc7a2f4ded2c68da7c0501965dbf3
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-27,Storage,0.021624860495606,Premium SSD Managed Disks,P10 LRS Disk,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,05a92ef059d22b7847bf97a414cbd9b773f230a341f9262ebbfcd391f68fc350,Microsoft.MachineLearningServices,westeurope,55f17ee5c0235396a7acc69e7fc30d917319e3e053d08e3d66293504516884f1
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-27,Bandwidth,4.477475e-09,Inter-Region,Intra Continent Data Transfer Out,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,05a92ef059d22b7847bf97a414cbd9b773f230a341f9262ebbfcd391f68fc350,Microsoft.MachineLearningServices,westeurope,55f17ee5c0235396a7acc69e7fc30d917319e3e053d08e3d66293504516884f1
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-26,Storage,0.071910669975186,Standard HDD Managed Disks,S6 Disks,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,b20192e9a99ce6a07daf69301c6ee6baf7abaa491706628e823c6465941b44d1,Microsoft.Compute,westeurope,3e3ff028b0c9604a38a05562757b3a4a69549513953c0df01352daa183af59d6
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-26,Storage,0.126115357887422,Premium SSD Managed Disks,P4 LRS Disk,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,86f4c11fb894a2bc5bd8f96b713a67c6c754381e89453b9c18edb9ac71b3a6a1,Microsoft.Compute,northeurope,9fa0012238511590ae2bce7342eddd82afdca37d3caacfea5dd18177bcfb930b
bc05844fb9454a82a5380ad11fceccc59227e495d31ab1967f83cbb827b5fd54,2022-12-26,Storage,0.014311926605505,Standard SSD Managed Disks,E2 Disks,95e7dd23f5eed773783fc94e66ed6198d77b9b7c41c51c065b084e236356dc14,43c17db9ed1b2f8fb2b00a32c6223f6e6b1e4b9b92b5c303e83b8f542db82cbc,Microsoft.Compute,northeurope,91a4e289690ca4e18a13f976d1ecaf6bcf504177798a05529ffe1a28e89e6d97
